vin,sellingprice
1g6dp567450124779,5942.5
1gtw7fca7e1902207,21487.5
jn8az1mw6dw303497,21231.57
2g1wf5e34d1160703,9229.5
1n6aa0ec3dn301209,19970.31
wvwvd63b93e175638,4094.75
5npeb4ac4dh809686,12620.5
1fm5k7b97dgb16454,20165.61
jn1cv6ar5bm411441,18686.5
3gnfc16j77g158033,11360.25
2g1wb5e30d1140332,12583.75
jf2sjadc1fh417932,21803.96
1fmcu0f75eue15137,14682.3
jn8az18w29w128991,13413.14
3fadp4ejxcm158293,11591.0
1fahp2e96dg230937,15645.75
knaft4a24b5326931,8048.0
wbaeb5c57ac225968,2520.71
1gndt13sx62216518,6794.75
3gcukrec4eg454516,25325.14
kmhgc4ddxcu168540,13404.75
2gnfleek4c6221421,13781.5
3gnda23d06s523147,5372.75
ja32u1fu0du008397,13206.5
1fbne3bl1eda46070,18262.89
2b8gp54l01r117477,2211.625
1fadp3f28el323070,13471.75
1g3nl52f32c104253,3195.0
yv4992dz6a2034805,15782.07
1gmdv33l15d274975,7819.0
3fahp0ha5cr314457,12440.0
kndjp3a5xe7072298,14801.0
jh4cu2f49cc003441,17728.5
1g2zm177284122405,5207.75
1hgcp2f38ba122870,10999.64
1n4aa5ap0bc847988,17181.25
jt2bf28kx10337262,2307.5
2gtek13v961325160,8545.0
1n4aa5ap7ac811245,11940.71
1fadp3k25el151313,12961.0
4t1bf1fk9eu774829,14706.75
waugfafc2en098654,7496.43
3fa6p0hr2dr238002,11463.28
3fahp0ja5cr276738,10372.755
2g1fa1e30d9157807,18278.005
2t3bfrev4dw038526,18484.75
5yfbu4ee8dp189095,12197.0
yv1sz59h741164165,4372.75
1hgcr2f84da020569,13360.25
1c4njcba3fd124498,15536.31
1n4aa51e09c834554,6636.25
1fmfu17525la35873,5934.75
3vw2k7aj6dm209150,12484.765
5j6rm3h7xdl004568,19818.0
waufgafb8an026867,7693.72
3fahp0ha0cr307061,12327.5
1lnhm87a82y644589,1684.625
2hkrl18022h576543,2277.0
2t1burhe2ec210372,10244.5
nm0ge9f77e1151554,16762.19
5xxgr4a66dg133932,12653.52
5j6re48348l033196,11112.39
1gnlvfed5aj252374,14789.82
1ftfw1e69dfd71401,25365.57
kmhdh4ae8du795370,9602.5
1n4al2ap3cn408119,12207.0
waugn74f37n041255,8180.0
5xykt3a63eg479116,16744.0
4t1bf3ek2au532729,7975.32
knafx4a62e5225883,12338.5
jnkcv51e63m329092,3821.5
jn1by1ar2cm394735,22820.1
1j4fa59s0yp723644,3156.375
1fahp3f28cl166154,9524.25
jtebu4bf2bk113263,15285.78
2c4rc1gg7er180355,19724.75
2hges16374h588764,4936.75
wddgf81x78f169485,14664.25
2c4rdgcg3er388917,17189.07
1n4al2ap5cn424564,11915.005
1ftfw1et8cfb48321,25341.71
3fa6p0h71er259567,16487.0
1c3cdzab7dn610562,9890.0
1c6rd7ft7cs204333,17151.785
5npeb4ac3ch290449,11488.5
1ftfw1ef3bfc35956,21046.64
jf1znaa10d1719373,17001.66
2c4rdgegxer431226,17128.0
1n4al3ap9ec105740,13338.25
wbxpa73464wc36440,5720.75
yv440mdb2f2610299,16817.29
2c3ccakt9eh306087,18889.0
2d4fv47tx6h156976,4742.25
1fbss3bl5edb01101,22648.75
1ftww31p86ec33609,12694.0
1g6dw677x50225462,6789.5
1ftfw1r69dfb74948,26397.0
1fahp2e82eg107578,16795.75
jn1cv6ek3cm422386,20966.875
3fa6p0h7xdr271747,13202.0
1g6dw677550216409,5892.25
2gkaluek7c6276284,15926.58
4t4be46k09r098027,5133.0
1ft8w3dt0deb21420,13997.07
knafe122845051705,4570.25
1g1pe5sb9e7114453,13704.5
3c4pddbg6ct222361,12110.0
km8jn72d05u127017,6521.25
5tfhw5f13cx249936,11474.81
1g1pc5sb7d7144958,10092.5
1gnwkmeg6br194783,12860.17
1g1zd5eb9af288546,7352.82
1j4gw48s44c336467,4780.0
2melm74w1vx603619,918.75
knafx4a67e5127187,12207.5
2t1br32e14c264462,5410.0
1g1zd5eu9bf201988,9347.0
kndup131046562894,2830.75
2g1wf5ek1b1281581,7294.0
2t2gk31u77c011844,13807.39
1ftnf1cf8ekd17420,24710.71
waulc68e63a233402,4091.75
jthgl46f875015124,13473.0
5j6rm3h53cl025176,19022.445
1fahp3fnxbw188972,9381.5
wbabd33424jy97817,5702.75
5uxfe83529l170811,16130.0
jtdktud32ed584445,10972.17
1g8aj55f77z187488,6432.39
2c4rdgcg0cr204451,12064.0
1n4aa5apxec438000,17192.75
19uua9f55ca002462,16077.75
1ftne24w67da44976,4150.75
jn1cv6el0am150112,17125.5
1fahp3n26cl476501,9549.5
jn8af5mv5dt210835,13360.88
1gnsckkc8fr205029,4506.78
wddgf56x08f039121,14361.0
3n1cn7ap6dl876005,11506.775
1n4aa5ap3cc815652,17253.0
3fadp4ej1dm227597,11029.03
2t3bf4dv7bw172688,14941.82
1g11h5sa9df251711,11539.0
3lnhl2jc4ar615582,8642.0
4t1bf32k33u562748,4420.0
1d7hu18d75s323919,7901.75
1b3cc4fb9an189063,6409.25
1gndt13s662358557,6437.5
wddgf4hb5cr239429,19544.07
km8jt3ab7cu401390,15295.025
1gkev23768j263857,7685.5
jthbf5c24c5176380,20678.82
1hgcg165x2a027836,2426.875
kmhd35le6du156678,12931.5
wbavm1c51dvw41350,18744.075
1c4rjeag7ec144910,22197.46
2d4rn4de8ar496990,9404.0
4t1bf1fk7cu098636,12350.75
wauaf78e26a046795,5938.0
1gkdt13s122106237,3149.25
1n4ba41e66c829787,6138.5
4t3zk3bb8au024609,11829.75
1fm5k8d83dgb86317,25432.32
1n6ad0ev4ac404087,20442.0
2c3ccabg4eh261658,18705.75
1fafp552x3a196871,3336.25
1gnscbkcxfr160773,6783.125
kmhct5ae1du137471,11492.25
2hges16543h601504,3721.5
wba3b5g51fns15840,15218.91
3c4pdddg8dt615227,12559.5
jthce1blxd5001563,28703.32
1j8gl58k85w613103,5594.5
3fahp0gaxcr304900,10447.005
1ftnf1cf0ekd48113,24700.82
1fahp2f83eg183230,15656.0
1g1jc6shxd4189457,10297.5
1fmzu73k53uc18137,4413.0
1fmcu0h92dud56139,16727.25
jm3ke2cy8f0434836,17521.5
1g1zf57579f254408,7855.5
jthbk262982063524,8963.5
3n1bc1cp1al391729,7272.0
4t1be46k47u032443,5751.0
jn1cv6ap9dm713252,23173.5
jtlkt334264049092,6451.25
4jgdf7ce4da223492,25121.0
wp0ab2a90ds123041,4454.31
2g1wf5e37d1220344,9155.5
1c3cdfbaxdd268356,12489.5
1j4rr4gg4bc555195,18556.75
1gyek63n92r200314,2389.375
5j6rm4h55cl021118,17045.025
jm1bl1uf3b1390089,9601.5
1nxbu4ee9az306581,8001.07
3ln6l2gk8er825498,21598.35
kmhcn46cx9u341270,4576.5
1fmjk1h5xbef34161,8735.975
jm1gj1v66e1162487,13044.05
1fafp55s53g166741,4262.5
jhlre4h47bc035761,18045.75
1hgcg56702a023996,3612.75
3vwrt71k66m746558,5794.25
5tfdw5f17cx249548,3970.05
2c4rdgcg8er253237,17400.0
19uua56883a074677,4012.0
2lmdu68cx8bj05646,11991.25
5n1ar18u67c626356,6733.75
1ftne2ew8eda20173,21962.32
1fahp3gn9bw184524,8561.5
19xfb2f5xee243381,8264.75
1gtw7fca5e1905770,18099.7
