vin,sellingprice
1g6dp567450124779,5366.991062963663
1gtw7fca7e1902207,20969.95829040535
jn8az1mw6dw303497,21841.79665462212
2g1wf5e34d1160703,10183.521734060343
1n6aa0ec3dn301209,14557.050657779964
wvwvd63b93e175638,1491.9557380850383
5npeb4ac4dh809686,13091.93127244267
1fm5k7b97dgb16454,22579.369108222345
jn1cv6ar5bm411441,19650.209966690487
3gnfc16j77g158033,12469.593871704836
2g1wb5e30d1140332,11813.67397397115
jf2sjadc1fh417932,23632.264850321204
1fmcu0f75eue15137,12575.197693758944
jn8az18w29w128991,13832.841353778775
3fadp4ejxcm158293,7194.885976413299
1fahp2e96dg230937,16581.266429136336
knaft4a24b5326931,7129.509807351575
wbaeb5c57ac225968,11018.963892785428
1gndt13sx62216518,4626.4735812401495
3gcukrec4eg454516,20092.962026840098
kmhgc4ddxcu168540,17859.772058736067
2gnfleek4c6221421,14133.025031922627
3gnda23d06s523147,7591.006358058907
ja32u1fu0du008397,9260.280775779429
1fbne3bl1eda46070,20889.291096979796
2b8gp54l01r117477,1753.1492632738791
1fadp3f28el323070,12110.469197735018
1g3nl52f32c104253,1758.3802613194603
yv4992dz6a2034805,14746.516941076678
1gmdv33l15d274975,4442.746000425309
3fahp0ha5cr314457,10434.804710318527
kndjp3a5xe7072298,14465.93703106591
jh4cu2f49cc003441,19100.02236297338
1g2zm177284122405,4688.624541210448
1hgcp2f38ba122870,11441.567856821443
1n4aa5ap0bc847988,17633.49657232209
jt2bf28kx10337262,1847.1089389501158
2gtek13v961325160,11885.283593852397
1n4aa5ap7ac811245,14331.58802936315
1fadp3k25el151313,12939.698521684255
4t1bf1fk9eu774829,15879.403943021447
waugfafc2en098654,-19174.945015704652
3fa6p0hr2dr238002,13930.856067322798
3fahp0ja5cr276738,11152.673566536743
2g1fa1e30d9157807,19059.808939468545
2t3bfrev4dw038526,18076.46142700415
5yfbu4ee8dp189095,11634.4056630284
yv1sz59h741164165,4496.964678827871
1hgcr2f84da020569,15312.069974233797
1c4njcba3fd124498,17478.080851682087
1n4aa51e09c834554,9860.082493183303
1fmfu17525la35873,6162.82681166241
3vw2k7aj6dm209150,11190.372217330867
5j6rm3h7xdl004568,23614.021345767276
waufgafb8an026867,15180.877050937353
3fahp0ha0cr307061,10611.379457391515
1lnhm87a82y644589,3096.8627858447107
2hkrl18022h576543,3296.033744348366
2t1burhe2ec210372,13876.233650106955
nm0ge9f77e1151554,12554.91181373085
5xxgr4a66dg133932,12848.110020946971
5j6re48348l033196,12379.474208145279
1gnlvfed5aj252374,11781.971313699334
1ftfw1e69dfd71401,24959.893034401073
kmhdh4ae8du795370,9804.1012401339
1n4al2ap3cn408119,11918.520190756317
waugn74f37n041255,18081.4725277997
5xykt3a63eg479116,17123.342715110448
4t1bf3ek2au532729,9580.74451633553
knafx4a62e5225883,11575.131644708817
jnkcv51e63m329092,4093.43185452093
jn1by1ar2cm394735,23826.324338373997
1j4fa59s0yp723644,4736.423081829438
1fahp3f28cl166154,9366.219760103646
jtebu4bf2bk113263,20894.3942228121
2c4rc1gg7er180355,18395.0142239352
2hges16374h588764,4535.325054814727
wddgf81x78f169485,12469.799944132854
2c4rdgcg3er388917,16691.74767911349
1n4al2ap5cn424564,12691.466089854348
1ftfw1et8cfb48321,23841.764980611348
3fa6p0h71er259567,16448.935269437894
1c3cdzab7dn610562,9731.73411727744
1c6rd7ft7cs204333,22362.9423830086
5npeb4ac3ch290449,12550.626248849336
1ftfw1ef3bfc35956,22879.84209407054
jf1znaa10d1719373,19348.08981851488
2c4rdgegxer431226,17247.359888716637
1n4al3ap9ec105740,15225.100816848524
wbxpa73464wc36440,8600.258996386961
yv440mdb2f2610299,19555.8200907023
2c3ccakt9eh306087,21457.379851906728
2d4fv47tx6h156976,2492.2511984112025
1fbss3bl5edb01101,21042.69061983841
1ftww31p86ec33609,15847.486620146192
1g6dw677x50225462,6508.424669607229
1ftfw1r69dfb74948,24832.803270203534
1fahp2e82eg107578,19462.06819487711
jn1cv6ek3cm422386,22752.18440158078
3fa6p0h7xdr271747,13930.856067322798
1g6dw677550216409,5240.372897469856
2gkaluek7c6276284,19605.335491543618
4t4be46k09r098027,6350.374531485668
1ft8w3dt0deb21420,-20026.876481641695
knafe122845051705,2930.317078685859
1g1pe5sb9e7114453,13070.268222236456
3c4pddbg6ct222361,11351.411381031898
km8jn72d05u127017,7350.995589776201
5tfhw5f13cx249936,12712.340398323478
1g1pc5sb7d7144958,9369.159926643079
1gnwkmeg6br194783,16823.41487292839
1g1zd5eb9af288546,9274.727352003183
1j4gw48s44c336467,5176.055643291604
2melm74w1vx603619,871.7719416588861
knafx4a67e5127187,10722.06835460201
2t1br32e14c264462,4343.192178260038
1g1zd5eu9bf201988,11004.6106736224
kndup131046562894,3055.825807264335
2g1wf5ek1b1281581,7244.99202547099
2t2gk31u77c011844,13708.450309319185
1ftnf1cf8ekd17420,23864.08713541106
waulc68e63a233402,6700.458963809756
jthgl46f875015124,17922.693225579
5j6rm3h53cl025176,21805.8782595268
1fahp3fnxbw188972,7814.312728713969
wbabd33424jy97817,4761.601360640066
5uxfe83529l170811,17677.124620439696
jtdktud32ed584445,9976.620464289654
1g8aj55f77z187488,4921.843603401809
2c4rdgcg0cr204451,10958.067398979667
1n4aa5apxec438000,19612.85252232091
19uua9f55ca002462,19804.144822586546
1ftne24w67da44976,5129.935747088351
jn1cv6el0am150112,19178.702289206478
1fahp3n26cl476501,10272.970368984197
jn8af5mv5dt210835,18038.16066244345
1gnsckkc8fr205029,-8043.872173571406
wddgf56x08f039121,11379.971550490207
3n1cn7ap6dl876005,10303.245604703374
1n4aa5ap3cc815652,15842.064189533694
3fadp4ej1dm227597,10147.203393429543
2t3bf4dv7bw172688,15731.287997759124
1g11h5sa9df251711,12803.34274026135
3lnhl2jc4ar615582,8246.309547743907
4t1bf32k33u562748,2736.0402159201167
1d7hu18d75s323919,8742.988187737152
